date,frequency,keyword
2014-01-01,2,Thai
2014-01-02,1,Thai
2014-01-03,1,Thai
2014-01-04,1,Thai
2014-01-05,1,Thai
2014-01-06,4,Thai
2014-01-07,0,Thai
2014-01-08,0,Thai
2014-01-09,1,Thai
2014-01-10,2,Thai
2014-01-11,1,Thai
2014-01-12,0,Thai
2014-01-13,2,Thai
2014-01-14,1,Thai
2014-01-15,1,Thai
2014-01-16,2,Thai
2014-01-17,0,Thai
2014-01-18,0,Thai
2014-01-19,1,Thai
2014-01-20,1,Thai
2014-01-21,1,Thai
2014-01-22,0,Thai
2014-01-23,0,Thai
2014-01-24,0,Thai
2014-01-25,1,Thai
2014-01-26,1,Thai
2014-01-27,1,Thai
2014-01-28,2,Thai
2014-01-29,0,Thai
2014-01-30,1,Thai
2014-01-31,4,Thai
2014-01-01,2,Service
2014-01-02,2,Service
2014-01-03,1,Service
2014-01-04,1,Service
2014-01-05,1,Service
2014-01-06,2,Service
2014-01-07,2,Service
2014-01-08,0,Service
2014-01-09,0,Service
2014-01-10,1,Service
2014-01-11,1,Service
2014-01-12,1,Service
2014-01-13,1,Service
2014-01-14,3,Service
2014-01-15,1,Service
2014-01-16,0,Service
2014-01-17,0,Service
2014-01-18,3,Service
2014-01-19,2,Service
2014-01-20,1,Service
2014-01-21,1,Service
2014-01-22,3,Service
2014-01-23,0,Service
2014-01-24,2,Service
2014-01-25,0,Service
2014-01-26,1,Service
2014-01-27,0,Service
2014-01-28,1,Service
2014-01-29,1,Service
2014-01-30,2,Service
2014-01-31,1,Service
2014-01-01,2,Saturday
2014-01-02,0,Saturday
2014-01-03,2,Saturday
2014-01-04,2,Saturday
2014-01-05,3,Saturday
2014-01-06,3,Saturday
2014-01-07,0,Saturday
2014-01-08,0,Saturday
2014-01-09,1,Saturday
2014-01-10,0,Saturday
2014-01-11,0,Saturday
2014-01-12,2,Saturday
2014-01-13,2,Saturday
2014-01-14,0,Saturday
2014-01-15,1,Saturday
2014-01-16,0,Saturday
2014-01-17,0,Saturday
2014-01-18,1,Saturday
2014-01-19,3,Saturday
2014-01-20,1,Saturday
2014-01-21,1,Saturday
2014-01-22,2,Saturday
2014-01-23,0,Saturday
2014-01-24,1,Saturday
2014-01-25,3,Saturday
2014-01-26,0,Saturday
2014-01-27,1,Saturday
2014-01-28,1,Saturday
2014-01-29,0,Saturday
2014-01-30,0,Saturday
2014-01-31,0,Saturday
2014-01-01,1,Friday
2014-01-02,1,Friday
2014-01-03,1,Friday
2014-01-04,0,Friday
2014-01-05,2,Friday
2014-01-06,1,Friday
2014-01-07,0,Friday
2014-01-08,1,Friday
2014-01-09,0,Friday
2014-01-10,2,Friday
2014-01-11,2,Friday
2014-01-12,2,Friday
2014-01-13,1,Friday
2014-01-14,0,Friday
2014-01-15,1,Friday
2014-01-16,2,Friday
2014-01-17,5,Friday
2014-01-18,2,Friday
2014-01-19,3,Friday
2014-01-20,1,Friday
2014-01-21,2,Friday
2014-01-22,1,Friday
2014-01-23,0,Friday
2014-01-24,0,Friday
2014-01-25,4,Friday
2014-01-26,0,Friday
2014-01-27,1,Friday
2014-01-28,0,Friday
2014-01-29,0,Friday
2014-01-30,0,Friday
2014-01-31,1,Friday
2014-01-01,0,Sunday
2014-01-02,1,Sunday
2014-01-03,1,Sunday
2014-01-04,0,Sunday
2014-01-05,0,Sunday
2014-01-06,0,Sunday
2014-01-07,2,Sunday
2014-01-08,2,Sunday
2014-01-09,0,Sunday
2014-01-10,0,Sunday
2014-01-11,3,Sunday
2014-01-12,1,Sunday
2014-01-13,3,Sunday
2014-01-14,0,Sunday
2014-01-15,2,Sunday
2014-01-16,1,Sunday
2014-01-17,0,Sunday
2014-01-18,1,Sunday
2014-01-19,0,Sunday
2014-01-20,2,Sunday
2014-01-21,2,Sunday
2014-01-22,1,Sunday
2014-01-23,0,Sunday
2014-01-24,0,Sunday
2014-01-25,0,Sunday
2014-01-26,1,Sunday
2014-01-27,2,Sunday
2014-01-28,0,Sunday
2014-01-29,0,Sunday
2014-01-30,1,Sunday
2014-01-31,0,Sunday
2014-01-01,3,New
2014-01-02,1,New
2014-01-03,2,New
2014-01-04,1,New
2014-01-05,1,New
2014-01-06,1,New
2014-01-07,0,New
2014-01-08,1,New
2014-01-09,1,New
2014-01-10,1,New
2014-01-11,1,New
2014-01-12,2,New
2014-01-13,0,New
2014-01-14,0,New
2014-01-15,0,New
2014-01-16,2,New
2014-01-17,0,New
2014-01-18,1,New
2014-01-19,1,New
2014-01-20,2,New
2014-01-21,0,New
2014-01-22,0,New
2014-01-23,2,New
2014-01-24,0,New
2014-01-25,1,New
2014-01-26,0,New
2014-01-27,1,New
2014-01-28,0,New
2014-01-29,1,New
2014-01-30,0,New
2014-01-31,0,New
2014-01-01,2,BYOB
2014-01-02,1,BYOB
2014-01-03,2,BYOB
2014-01-04,0,BYOB
2014-01-05,0,BYOB
2014-01-06,2,BYOB
2014-01-07,0,BYOB
2014-01-08,0,BYOB
2014-01-09,0,BYOB
2014-01-10,0,BYOB
2014-01-11,1,BYOB
2014-01-12,2,BYOB
2014-01-13,1,BYOB
2014-01-14,0,BYOB
2014-01-15,0,BYOB
2014-01-16,1,BYOB
2014-01-17,1,BYOB
2014-01-18,0,BYOB
2014-01-19,2,BYOB
2014-01-20,0,BYOB
2014-01-21,0,BYOB
2014-01-22,1,BYOB
2014-01-23,2,BYOB
2014-01-24,0,BYOB
2014-01-25,1,BYOB
2014-01-26,1,BYOB
2014-01-27,3,BYOB
2014-01-28,0,BYOB
2014-01-29,0,BYOB
2014-01-30,1,BYOB
2014-01-31,1,BYOB
2014-01-01,0,Mac
2014-01-02,1,Mac
2014-01-03,0,Mac
2014-01-04,1,Mac
2014-01-05,0,Mac
2014-01-06,1,Mac
2014-01-07,0,Mac
2014-01-08,0,Mac
2014-01-09,2,Mac
2014-01-10,0,Mac
2014-01-11,2,Mac
2014-01-12,0,Mac
2014-01-13,0,Mac
2014-01-14,0,Mac
2014-01-15,0,Mac
2014-01-16,1,Mac
2014-01-17,2,Mac
2014-01-18,2,Mac
2014-01-19,0,Mac
2014-01-20,0,Mac
2014-01-21,1,Mac
2014-01-22,1,Mac
2014-01-23,0,Mac
2014-01-24,1,Mac
2014-01-25,0,Mac
2014-01-26,2,Mac
2014-01-27,0,Mac
2014-01-28,0,Mac
2014-01-29,1,Mac
2014-01-30,0,Mac
2014-01-31,0,Mac
2014-01-01,0,Delicious
2014-01-02,0,Delicious
2014-01-03,0,Delicious
2014-01-04,1,Delicious
2014-01-05,0,Delicious
2014-01-06,1,Delicious
2014-01-07,1,Delicious
2014-01-08,1,Delicious
2014-01-09,0,Delicious
2014-01-10,0,Delicious
2014-01-11,2,Delicious
2014-01-12,1,Delicious
2014-01-13,2,Delicious
2014-01-14,0,Delicious
2014-01-15,0,Delicious
2014-01-16,0,Delicious
2014-01-17,0,Delicious
2014-01-18,1,Delicious
2014-01-19,1,Delicious
2014-01-20,0,Delicious
2014-01-21,4,Delicious
2014-01-22,3,Delicious
2014-01-23,0,Delicious
2014-01-24,0,Delicious
2014-01-25,2,Delicious
2014-01-26,0,Delicious
2014-01-27,0,Delicious
2014-01-28,1,Delicious
2014-01-29,0,Delicious
2014-01-30,0,Delicious
