date,frequency,keyword
2014-01-01,4,thai
2014-01-01,1,service
2014-01-01,2,saturday
2014-01-01,0,friday
2014-01-01,0,sunday
2014-01-01,2,new
2014-01-01,0,byob
2014-01-01,2,mac
2014-01-01,1,delicious
2014-01-01,1,pizza
2014-01-01,0,great
2014-01-01,1,pad
2014-01-01,1,cheese
2014-01-01,0,meat
2014-01-01,0,cafe
2014-01-01,0,valentines
2014-01-01,0,oakland
2014-01-01,0,chicken
2014-01-01,0,square
2014-01-01,0,shadyside
2014-01-01,1,market
2014-01-01,0,burger
2014-01-01,0,curry
2014-01-01,0,grill
2014-01-01,0,thursday
2014-01-01,0,burgatory
2014-01-01,0,bbq
2014-01-01,0,street
2014-01-01,0,highly
2014-01-01,1,pork
2014-01-01,0,park
2014-01-01,0,east
2014-01-01,0,yummy
2014-01-01,0,south
2014-01-01,0,hill
2014-01-01,0,primanti
2014-01-01,0,tuesday
2014-01-01,0,food
2014-01-01,0,side
2014-01-01,0,friday
2014-01-01,0,pamela
2014-01-01,0,thanksgiving
2014-01-01,2,penn
2014-01-01,0,strip
2014-01-01,0,nice
2014-01-02,0,thai
2014-01-02,2,service
2014-01-02,1,saturday
2014-01-02,0,friday
2014-01-02,0,sunday
2014-01-02,0,new
2014-01-02,1,byob
2014-01-02,1,mac
2014-01-02,0,delicious
2014-01-02,0,pizza
2014-01-02,3,great
2014-01-02,0,pad
2014-01-02,1,cheese
2014-01-02,0,meat
2014-01-02,0,cafe
2014-01-02,0,valentines
2014-01-02,0,oakland
2014-01-02,1,chicken
2014-01-02,1,square
2014-01-02,0,shadyside
2014-01-02,1,market
2014-01-02,0,burger
2014-01-02,0,curry
2014-01-02,0,grill
2014-01-02,0,thursday
2014-01-02,0,burgatory
2014-01-02,0,bbq
2014-01-02,0,street
2014-01-02,0,highly
2014-01-02,0,pork
2014-01-02,0,park
2014-01-02,0,east
2014-01-02,0,yummy
2014-01-02,0,south
2014-01-02,0,hill
2014-01-02,0,primanti
2014-01-02,0,tuesday
2014-01-02,0,food
2014-01-02,0,side
2014-01-02,0,friday
2014-01-02,0,pamela
2014-01-02,0,thanksgiving
2014-01-02,0,penn
2014-01-02,0,strip
2014-01-02,1,nice
2014-01-03,3,thai
2014-01-03,1,service
2014-01-03,1,saturday
2014-01-03,1,friday
2014-01-03,1,sunday
2014-01-03,2,new
2014-01-03,1,byob
2014-01-03,0,mac
2014-01-03,0,delicious
2014-01-03,0,pizza
2014-01-03,0,great
2014-01-03,0,pad
2014-01-03,0,cheese
2014-01-03,1,meat
2014-01-03,0,cafe
2014-01-03,0,valentines
2014-01-03,0,oakland
2014-01-03,1,chicken
2014-01-03,0,square
2014-01-03,0,shadyside
2014-01-03,0,market
2014-01-03,0,burger
2014-01-03,0,curry
2014-01-03,1,grill
2014-01-03,0,thursday
2014-01-03,2,burgatory
2014-01-03,0,bbq
2014-01-03,0,street
2014-01-03,0,highly
2014-01-03,0,pork
2014-01-03,1,park
2014-01-03,1,east
2014-01-03,1,yummy
2014-01-03,1,south
2014-01-03,0,hill
2014-01-03,0,primanti
2014-01-03,0,tuesday
2014-01-03,1,food
2014-01-03,0,side
2014-01-03,1,friday
2014-01-03,0,pamela
2014-01-03,0,thanksgiving
2014-01-03,0,penn
2014-01-03,0,strip
2014-01-03,1,nice
2014-01-04,1,thai
2014-01-04,1,service
2014-01-04,0,saturday
2014-01-04,0,friday
2014-01-04,1,sunday
2014-01-04,0,new
2014-01-04,1,byob
2014-01-04,2,mac
2014-01-04,0,delicious
2014-01-04,2,pizza
2014-01-04,2,great
2014-01-04,0,pad
2014-01-04,0,cheese
2014-01-04,2,meat
2014-01-04,0,cafe
2014-01-04,0,valentines
2014-01-04,0,oakland
2014-01-04,1,chicken
2014-01-04,0,square
2014-01-04,0,shadyside
2014-01-04,1,market
2014-01-04,0,burger
2014-01-04,0,curry
2014-01-04,0,grill
2014-01-04,0,thursday
2014-01-04,0,burgatory
2014-01-04,1,bbq
2014-01-04,0,street
2014-01-04,0,highly
2014-01-04,0,pork
2014-01-04,0,park
2014-01-04,0,east
2014-01-04,0,yummy
2014-01-04,0,south
2014-01-04,1,hill
2014-01-04,5,primanti
2014-01-04,0,tuesday
2014-01-04,1,food
2014-01-04,0,side
2014-01-04,0,friday
2014-01-04,0,pamela
2014-01-04,0,thanksgiving
