id,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec
alway,263,307,374,369,417,372,401,362,224,196,229,225
amaz,379,405,522,457,497,424,533,461,272,266,258,265
ask,187,0,240,242,243,228,281,215,130,0,110,114
awesom,354,379,546,452,490,445,546,442,247,273,239,219
back,324,294,343,351,369,340,350,312,221,194,191,161
bar,193,221,245,0,237,227,237,210,0,0,0,0
beer,0,185,321,262,0,241,252,0,139,133,0,0
best,629,668,884,783,843,691,843,722,463,444,440,455
better,0,0,0,0,0,0,0,0,129,0,0,0
burger,0,0,249,0,240,0,240,0,0,109,0,0
can,267,250,374,364,365,359,350,304,199,146,184,169
check,175,0,0,0,0,0,0,0,0,0,0,0
chicken,267,251,364,264,310,292,315,294,143,146,120,114
clean,0,0,0,0,237,0,0,0,0,0,0,0
close,190,180,0,0,0,0,0,227,161,150,142,169
coffe,0,0,0,0,0,0,0,0,0,112,0,0
come,347,404,543,505,537,480,553,488,241,238,208,193
custom,0,0,0,0,0,223,0,215,195,111,0,127
day,196,207,272,229,270,231,0,0,140,0,0,104
delici,302,294,363,372,388,336,412,315,192,210,196,170
dont,328,346,485,485,499,407,470,421,249,244,212,195
drink,219,218,296,300,318,275,309,292,153,131,134,114
eat,196,197,256,258,270,263,234,215,128,120,0,105
even,180,0,0,0,0,0,0,0,134,0,0,0
ever,198,209,244,239,249,250,0,0,162,138,137,129
everyth,0,0,0,236,0,0,0,0,0,0,0,0
excel,177,190,251,0,0,0,241,0,143,134,120,138
favorit,175,181,0,0,0,0,0,0,0,116,0,101
first,185,0,0,0,0,0,0,0,0,0,0,0
food,1018,1160,1577,1414,1576,1395,1548,1370,858,822,826,841
free,205,214,286,240,304,312,289,276,134,122,212,139
fresh,0,190,252,215,255,218,235,244,128,0,97,0
fri,213,0,287,227,234,256,251,216,0,110,99,109
friend,365,440,573,504,594,512,577,514,284,262,248,249
get,706,755,974,899,900,826,980,831,511,418,394,379
good,1073,1107,1545,1365,1498,1357,1596,1271,707,794,678,697
great,1474,1677,2108,2038,2102,1968,2184,1913,1143,1131,1036,1019
happi,191,207,279,258,300,253,238,238,0,0,0,0
hour,256,264,362,321,383,325,326,311,177,150,144,158
just,345,394,402,407,448,397,391,335,253,201,181,202
like,389,382,503,480,559,461,497,434,261,253,206,206
locat,0,181,0,0,0,0,0,211,0,0,116,143
look,0,188,0,0,0,0,0,0,0,0,0,0
lot,0,0,0,0,0,0,236,0,0,0,0,0
love,659,715,856,770,896,755,860,703,473,459,428,392
lunch,0,208,241,271,287,259,243,221,0,130,0,0
make,218,255,330,347,390,287,334,277,198,133,142,143
menu,0,205,284,292,268,224,233,218,0,0,0,115
need,0,0,0,0,0,0,0,0,0,0,97,0
new,263,253,273,271,307,252,241,222,163,161,117,116
nice,329,364,460,458,505,394,482,441,220,202,192,184
now,0,0,0,0,0,0,0,0,139,133,0,0
one,321,351,388,345,423,356,342,335,247,180,160,194
open,0,0,0,234,0,0,243,0,154,146,126,154
order,288,287,462,397,410,374,434,373,211,168,163,160
peopl,0,0,0,0,0,0,0,0,0,0,123,114
pizza,229,215,315,248,261,276,318,281,151,163,145,155
place,1001,1047,1280,1242,1261,1121,1366,1160,671,621,614,571
price,288,296,394,405,402,363,420,338,240,221,205,215
realli,224,282,342,301,310,293,348,263,159,145,145,162
servic,835,886,1105,999,1121,1029,1184,1096,730,704,622,684
special,0,0,0,216,261,205,240,211,0,0,98,0
staff,273,326,393,381,401,363,413,385,211,201,201,199
take,0,0,240,0,234,211,0,217,145,0,0,100
time,512,522,586,575,607,503,588,538,302,266,249,264
tri,480,521,624,590,668,524,656,527,298,265,202,229
uber,0,0,0,0,0,0,0,0,0,0,137,0
use,0,0,0,0,0,0,0,0,0,0,139,0
vega,178,0,0,0,0,0,0,219,0,131,103,0
wait,250,313,384,359,379,323,385,344,186,152,146,141
want,0,0,0,225,0,0,0,0,0,0,0,0
will,318,302,374,385,414,374,392,390,252,199,208,231
